,customer_gender,customer_height,customer_weight,customer_size,major,sub,link,product_star,product_sales
0,1.0,159.0,47.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
1,1.0,165.0,53.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
2,1.0,160.0,61.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2425369,4.9,400.0
3,1.0,154.0,44.0,0.0,skirt,mini,https://www.musinsa.com/app/goods/2111542,4.7,200.0
4,1.0,172.0,61.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
5,1.0,167.0,55.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
6,1.0,167.0,55.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
7,1.0,155.0,46.0,0.0,skirt,mini,https://www.musinsa.com/app/goods/2551401,4.7,300.0
8,1.0,170.0,51.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
9,1.0,162.0,50.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
10,1.0,169.0,55.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
11,0.0,162.0,55.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
12,1.0,163.0,46.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2551409,4.8,50.0
13,1.0,153.0,41.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
14,1.0,168.0,55.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
15,1.0,162.0,48.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
16,1.0,169.0,54.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
17,1.0,164.0,52.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
18,1.0,163.0,46.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
19,1.0,162.0,49.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
20,1.0,170.0,56.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
21,1.0,164.0,59.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
22,1.0,166.0,50.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2111542,4.7,200.0
23,1.0,161.0,47.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
24,1.0,155.0,43.0,0.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
25,1.0,163.0,57.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2425369,4.9,400.0
